,ap0,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13,ap14,ap15,ap16,ap17,ap18,ap19,ap20,ap21,ap22,ap23,ap24,ap25,ap26,ap27,ap28,ap29,ap30,ap31,ap32,ap33,ap34,ap35,ap36,ap37,result_x,result_y
49,-72,-66,0,0,0,0,-85,0,-84,0,-75,0,-76,-86,-84,-75,0,-80,0,0,0,-74,0,0,0,0,-60,-72,0,-85,-74,0,-87,0,-79,0,0,0,2,5
50,-73,-71,0,0,0,0,-82,-90,-82,-82,-75,0,-76,-79,-84,-71,0,-80,0,0,0,-78,0,0,0,0,-54,-80,-83,-78,-74,0,-72,0,-78,-80,0,0,2,5
51,-71,-64,-88,0,0,-93,-80,0,-80,0,-80,-85,-76,-71,-87,-75,0,-78,-92,0,-78,-73,-83,-91,0,-90,-56,-73,0,-83,0,-80,-77,0,-81,-80,0,-81,3,0
52,-74,-62,0,0,0,0,-82,0,-76,-93,-81,0,-76,-83,-87,-71,0,0,-92,0,-78,-81,-83,-91,0,-93,-56,-85,0,-84,0,-80,-88,0,-79,-75,0,-81,3,0
53,-78,-65,0,0,0,0,-81,0,-80,-84,-83,0,-76,-83,-83,-75,0,0,-92,0,-76,-67,0,-91,0,-86,-60,-85,0,-83,0,-80,-73,0,-84,-76,0,-81,3,0
54,-90,-74,0,0,0,0,-86,0,-86,-90,-90,0,-72,-83,-87,-80,0,0,0,0,-89,-81,-77,0,0,-94,-70,-89,0,-89,0,0,-84,0,-92,-83,0,0,3,3
55,-83,-69,0,0,0,0,-86,0,-77,0,-78,0,0,-77,-90,-77,0,0,0,0,-89,-83,0,0,-85,-94,-67,-76,0,-82,0,0,-76,0,-86,-80,0,0,3,3
56,-81,-69,0,0,0,0,-86,0,-76,0,-80,0,0,-74,-82,-76,0,0,0,0,0,-72,0,0,-85,-94,-63,-74,-79,-82,-77,0,-79,0,-86,-80,0,0,3,3
57,0,-65,0,0,0,0,-80,0,-84,-90,-75,0,0,-79,-86,-75,0,0,0,0,0,-77,0,-92,0,-87,-53,-72,-82,-83,-71,0,-74,0,-73,-83,-90,0,3,5
58,-73,-65,0,0,0,0,-80,0,-84,0,-73,0,-80,-75,-90,-79,0,-82,0,0,0,-79,0,-92,0,0,-54,-72,-82,-84,-72,0,-74,0,-73,-83,-90,0,3,5
59,-72,-63,0,0,0,0,-81,0,-86,0,-75,0,-84,-79,-85,-77,0,-82,0,0,0,-79,0,0,0,0,-54,-72,-82,-83,-73,0,-78,0,-80,-79,0,0,3,5
60,-78,-65,0,0,0,0,-81,0,-80,-84,-83,0,0,-83,-83,-75,0,0,0,0,-76,-67,0,0,0,-86,-60,-85,0,-83,0,-80,-73,0,-84,-76,0,-81,4,0
